ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pm,gaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,objinfoflag,qualityflag,ndetections,nstackdetections,ginfoflag,ginfoflag2,ginfoflag3,rinfoflag,rinfoflag2,rinfoflag3,iinfoflag,iinfoflag2,iinfoflag3,zinfoflag,zinfoflag2,zinfoflag3,yinfoflag,yinfoflag2,yinfoflag3,SAM Flag
1.0830334421152571e+17,334.42114154,0.0035699999425560236,0.25437467,0.0022799998987466097,18.582642729384915,0.004357876821651092,17.387272076162343,0.001848619599099198,16.5047449524844,0.0008386214871149974,16.11466434911731,0.0016605684778025391,15.896513028371267,0.0021138508892443388,3700.0,5.25,-3.7,-34.932512,-35.916079,-36.765533,-37.017915,-37.335581,-37.564293,-37.896877,-37.481317,53.29069142710405,0.0011015920127695007,1.042762832096693,14.850876187080441,0.0011015920127695007,14.025648720798543,0.0011015920127695007,13.974060299477637,0.0011015920127695007,2.679100921643943e+18,334.4211362102575,0.079814225,0.25436943231739967,0.0820214,2.055521405997451,0.09188536,19.764042,-9.767221121988847,0.10994311,-17.181930781336227,0.11142409,0.9272799,503635968.0,60.0,87.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0865334278275082e+17,334.27827249,0.0018899999558925629,0.54195336,0.002899999963119626,19.965682034746912,0.010419010794898403,18.788364491433764,0.004508242941973261,17.595936004591888,0.0014933196763561997,16.998092993116014,0.0028688896962875314,16.742647504114885,0.0038384553958706632,3600.0,5.25,-3.7,-34.370028,-35.353768,-36.408712,-36.78025,-37.127324,-37.440923,-37.784489,-37.399731,54.0261610056007,0.00248253347964862,2.187103999573645,15.70971576557709,0.00248253347964862,14.873506299295194,0.00248253347964862,14.79111587797428,0.00248253347964862,2.679157374694162e+18,334.27827062021737,0.18325125,0.5419498728503647,0.23079431,2.0951324641741,0.18896168,13.269553,-4.918411146798569,0.23122345,-12.324377294347316,0.27015114,1.0669681,503635968.0,60.0,93.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0870334336096677e+17,334.33610163,0.01800999976694584,0.58860009,0.011640000157058239,20.518690855285783,0.01770233453152235,19.577174401615782,0.009335485476303742,19.181565474864893,0.0054075634447266615,19.08719061324361,0.012466200689175026,18.964328265755626,0.026556063931980258,4625.0,0.0,-0.1,-36.56084,-37.437131,-37.739479,-37.868764,-38.010171,-38.121189,-38.169462,-37.738265,56.98906692215314,0.007184417500494139,0.1927653973739621,17.99235568212953,0.007184417500494139,17.451439215847635,0.007184417500494139,17.415487794526726,0.007184417500494139,2.679157958809732e+18,334.336100864714,0.43552777,0.5885971934179528,0.58392966,0.48304955707505703,0.4418068,9.106807,7.017600051193912,0.5148509,-5.804069062076095,0.588803,0.9338834,436527104.0,52.0,82.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.085833411650522e+17,334.11654697,0.0017600000137463212,0.48473847,0.0014100000262260437,17.467379481082542,0.002183101952711989,16.965934413794734,0.0013912581369571325,16.755559731797728,0.0009931263509689245,16.714429488212495,0.0025070496464322726,16.66795531412794,0.004008455138405438,5437.5,0.0,0.0,-37.842577,-38.333795,-38.490797,-38.533836,-38.585538,-38.538757,-38.399275,-37.94608,55.27156028580308,0.0010961905639962119,0.051083799343107784,15.857281045779477,0.0010961905639962119,15.504119579497576,0.0010961905639962119,15.490166158176665,0.0010961905639962119,2.679167132859836e+18,334.11654980670676,0.07501819,0.4847355664246231,0.08439414,0.5309874131087472,0.08493181,10.971105,7.620199116404949,0.104192436,-7.892889304779285,0.10955088,1.0025679,503635968.0,60.0,84.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0852334124505538e+17,334.12455153,0.001979999942705035,0.43741316,0.0024300001095980406,18.286462892844803,0.003268866633247264,17.519569584501145,0.0019376380369032673,17.250768762734175,0.0012103058315412196,17.166962576513438,0.0032987941526926726,17.0358934827429,0.005215347720686472,5062.5,0.0,-2.1,-37.243587,-38.012047,-38.219294,-38.274892,-38.414416,-38.411064,-38.282063,-37.839544,55.48477865986729,0.0014695123700518248,0.09958730111750241,16.198192419843675,0.0014695123700518248,15.834549953561783,0.0014695123700518248,15.809920532240875,0.0014695123700518248,2.678791413416105e+18,334.1245560195868,0.10676844,0.4374083351012706,0.12318161,0.6707982333346234,0.11996938,18.782335,14.209352695843515,0.16150638,-12.282932401297254,0.18094714,0.9410855,503635968.0,60.0,88.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0829334138794845e+17,334.13884755,0.0037499999161809683,0.24832118,0.003869999898597598,20.607177309692236,0.020553275998742158,19.570398237545827,0.007934521867026575,18.954768918669423,0.004082707749815712,18.77012296004366,0.008866279157777346,18.55716475559525,0.01620710351278643,3700.0,5.25,-3.9,-35.71008,-36.718308,-37.208436,-37.24002,-37.662846,-37.780598,-38.100624,-37.598092,56.199864436309284,0.0058080750838363305,0.44597840369547903,17.543744196285676,0.0058080750838363305,16.731074730003776,0.0058080750838363305,16.766458308682864,0.0058080750838363305,2.67877288922225e+18,334.138852374442,0.48275718,0.24831275386946763,0.5314837,0.34333475688153803,0.5283861,12.944568,7.646410376833944,0.50549555,-10.444819425239974,0.6233755,1.0963395,436527104.0,52.0,85.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0
1.0848334373201555e+17,334.37320619,0.0016599999507889152,0.4042433,0.0028899998869746923,17.56177538844465,0.0023755595696916543,16.87169135853832,0.0013802460281490242,16.583931685313583,0.0008895785910241537,16.563956256440036,0.0020532801880423983,16.492086461847034,0.003553512802463027,5187.5,0.0,-1.0,-37.458796,-38.12524,-38.326843,-38.37441,-38.463907,-38.448294,-38.3249,-37.879269,54.964527430116725,0.001003655821581469,0.08329374887583517,15.640711190093118,0.001003655821581469,15.271461723811221,0.001003655821581469,15.249944302490308,0.001003655821581469,2.679150262228273e+18,334.37320866118694,0.06979787,0.404240404635375,0.069201946,0.6555797095714793,0.07415042,10.411711,7.345846085680901,0.09511765,-7.378500549086882,0.08531307,0.9954692,503635968.0,60.0,80.0,10.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0824334363371155e+17,334.36337512,0.005489999894052744,0.20093849,0.005619999952614307,21.97968542089977,0.06374300771929421,20.708799224439378,0.02171001201917532,19.509501077546478,0.006228152313404235,18.95690222726198,0.010992194717386269,18.695457936325216,0.021300062906805556,3600.0,5.25,-3.7,-34.370028,-35.353768,-36.408712,-36.78025,-37.127324,-37.440923,-37.784489,-37.399731,55.978085577294564,0.014349643285813778,2.0778409529227937,17.661640337270956,0.014349643285813778,16.82543087098906,0.014349643285813778,16.743040449668143,0.014349643285813778,2.6787254040640246e+18,334.3633813279237,0.65012056,0.20093543596223962,0.5891138,1.87304365689781,0.73743933,12.881182,10.682602708998527,0.87571204,-7.197697172322033,0.81448054,1.0156158,436527104.0,52.0,74.0,5.0,195035141.0,655360.0,196608.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0844334450943637e+17,334.4509274,0.019990000873804092,0.37161691,0.014010000042617321,19.130584648830407,0.0064148307723859745,17.913956340572067,0.0027612874329616555,16.989986551322506,0.0010495581020038155,16.589369530609908,0.002284132491090267,16.3011213580819,0.003079578483839236,3600.0,5.25,-3.8,-34.710644,-35.721542,-36.595287,-36.865073,-37.264321,-37.534743,-37.866763,-37.442545,53.61637708588336,0.0016072012843479644,1.1334087576360456,15.206111845859748,0.0016072012843479644,14.381448379577854,0.0016072012843479644,14.338517958256938,0.0016072012843479644,2.679104426337281e+18,334.45092254121107,0.17967084,0.3716199788258009,0.19211984,1.5450054061544574,0.19815704,6.6565375,-6.6551279832684145,0.27338862,-0.1369891457226615,0.26231614,1.6652759,503635968.0,60.0,85.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0865334176422344e+17,334.17640369,0.008670000359416008,0.54413188,0.009019999764859676,21.805387828970513,0.0587869997082241,20.549826046771155,0.019943024560328544,19.835075559663515,0.011529095332870479,19.62345428482742,0.022762096148287614,19.507900269649106,0.04432503286808088,3800.0,5.25,-3.7,-35.397698,-36.404124,-37.058686,-37.228045,-37.514694,-37.683869,-38.007623,-37.567673,56.984978197976346,0.01608648769908878,0.5871936939481577,18.425586957952735,0.01608648769908878,17.60918949167084,0.01608648769908878,17.58199107034993,0.01608648769908878,2.6791684728898304e+18,334.17639474064316,1.0935633,0.5441351456898933,1.3057419,1.4046098621444372,1.1725117,4.207724,-3.2543914283857958,1.7491268,-2.6671857372206493,1.6842884,0.9800557,436527104.0,52.0,59.0,5.0,195035141.0,655360.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,195035141.0,524416.0,196608.0
